application_number,brand_name,generic_name,company,approval_year,submission_class
NDA020505,TOPAMAX,TOPIRAMATE,"Janssen Pharmaceuticals, Inc.",1996,Type 1 - New Molecular Entity
BLA020162,N/A,N/A,N/A,1996,Type 1 - New Molecular Entity
NDA020533,NAROPIN,ROPIVACAINE HYDROCHLORIDE,"Fresenius Kabi USA, LLC",1996,Type 1 - New Molecular Entity
NDA020351,VISIPAQUE,IODIXANOL,GE Healthcare Inc.,1996,Type 1 - New Molecular Entity
NDA020664,CABERGOLINE,CABERGOLINE,Mylan Pharmaceuticals Inc.,1996,Type 1 - New Molecular Entity
NDA020665,N/A,N/A,N/A,1996,Type 1 - New Molecular Entity
NDA020450,CEREBYX,FOSPHENYTOIN SODIUM,Pfizer Laboratories Div Pfizer Inc,1996,Type 1 - New Molecular Entity
NDA020629,DENAVIR,PENCICLOVIR,Mylan Pharmaceuticals Inc.,1996,Type 1 - New Molecular Entity
NDA020524,N/A,N/A,N/A,1996,Type 1 - New Molecular Entity
NDA020449,DOCETAXEL,DOCETAXEL,Sanofi-Aventis U.S. LLC,1996,Type 1 - New Molecular Entity
NDA020372,MYOVIEW,TETROFOSMIN,Medi-Physics Inc. dba GE Healthcare,1996,Type 1 - New Molecular Entity
NDA020586,N/A,N/A,N/A,1996,Type 1 - New Molecular Entity
NDA020471,ZYFLO,ZILEUTON,"Chiesi USA, Inc.",1996,Type 1 - New Molecular Entity
NDA019815,N/A,N/A,N/A,1996,Type 1 - New Molecular Entity
NDA020114,N/A,N/A,N/A,1996,Type 1 - New Molecular Entity
NDA020528,N/A,N/A,N/A,1996,Type 1 - New Molecular Entity
NDA020597,LATANOPROST,LATANOPROST,Mylan Pharmaceuticals Inc.,1996,Type 1 - New Molecular Entity
NDA020659,N/A,N/A,N/A,1996,Type 1 - New Molecular Entity
BLA020563,INSULIN LISPRO,INSULIN LISPRO,Eli Lilly and Company,1996,Type 1 - New Molecular Entity
NDA020397,ZANAFLEX,TIZANIDINE HYDROCHLORIDE,"Covis Pharma US, Inc",1996,Type 1 - New Molecular Entity
NDA050679,N/A,N/A,N/A,1996,Type 1 - New Molecular Entity
NDA020666,ALBENDAZOLE,ALBENDAZOLE,Amneal Pharmaceuticals of New York LLC,1996,Type 1 - New Molecular Entity
NDA020685,N/A,N/A,N/A,1996,Type 1 - New Molecular Entity
NDA020193,ELMIRON,PENTOSAN POLYSULFATE SODIUM,"Janssen Pharmaceuticals, Inc.",1996,Type 1 - New Molecular Entity
NDA020630,ULTIVA,REMIFENTANIL HYDROCHLORIDE,Mylan Institutional LLC,1996,Type 1 - New Molecular Entity
NDA020571,CAMPTOSAR,IRINOTECAN HYDROCHLORIDE,Pharmacia & Upjohn Company LLC,1996,Type 1 - New Molecular Entity
NDA020706,N/A,N/A,N/A,1997,Type 1 - New Molecular Entity
